data_path,case_name
../../../data/spine/preprocessed/case_0992,case_0992
../../../data/spine/preprocessed/case_0696,case_0696
../../../data/spine/preprocessed/case_0673,case_0673
../../../data/spine/preprocessed/case_0327,case_0327
../../../data/spine/preprocessed/case_1175,case_1175
../../../data/spine/preprocessed/case_0770,case_0770
../../../data/spine/preprocessed/case_0922,case_0922
../../../data/spine/preprocessed/case_0786,case_0786
../../../data/spine/preprocessed/case_0747,case_0747
../../../data/spine/preprocessed/case_0040,case_0040
../../../data/spine/preprocessed/case_0805,case_0805
../../../data/spine/preprocessed/case_0067,case_0067
../../../data/spine/preprocessed/case_0411,case_0411
../../../data/spine/preprocessed/case_1131,case_1131
../../../data/spine/preprocessed/case_0830,case_0830
../../../data/spine/preprocessed/case_0160,case_0160
../../../data/spine/preprocessed/case_1003,case_1003
../../../data/spine/preprocessed/case_0999,case_0999
../../../data/spine/preprocessed/case_0809,case_0809
../../../data/spine/preprocessed/case_0677,case_0677
